recipe_name,meal_category,yield_quantity,cuisine,suitable_nationalities,ingredients_count,ingredients,verification_status,source_authority,source_url,last_verified_on,source_notes
خضار تمبيه,غداء / Lunch,100,إندونيسي,بعثات إندونيسي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
خضار كاري مع شباتي,غداء / Lunch,100,هندي,بعثات هندي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
خضار مشكلة وأرز,غداء / Lunch,100,عام / General,جميع البعثات,7,أرز بسمتي:17 | بطاطس:6 | جزر:5 | كوسة:5 | فاصوليا خضراء:4 | بازلاء مجمدة:3 | زيت نباتي:2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
خضار ووك,غداء / Lunch,100,آسيوي,بعثات آسيوي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
خيتشوري,غداء / Lunch,100,بنغلاديشي / Bangladeshi,بنغلاديش,6,أرز بسمتي:14 | عدس أحمر:8 | بصل:4 | طماطم:3 | كركم:0.25 | زيت نباتي:2,رسمي موثق / Official Verified,Bangladesh Tourism Board,https://tourismboard.gov.bd/sites/default/files/files/tourismboard.portal.gov.bd/page/aa3dacc5_f200_47c7_8445_12aff09f9450/BTB%20Tourist%20Handbook%20%281%29.pdf,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
دال عدس مع أرز,غداء / Lunch,100,هندي,بعثات هندي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دال عدس هندي,غداء / Lunch,100,هندي / Indian,الهند,7,عدس أحمر:12 | بصل:3 | طماطم:4 | ثوم:0.7 | زنجبيل:0.7 | كركم:0.25 | زيت نباتي:1.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دال ماش,غداء / Lunch,100,باكستاني,بعثات باكستاني,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج بابريكا بالمكرونة,غداء / Lunch,100,أوروبي / European,البوسنة، ألبانيا، روسيا، ألمانيا,6,صدور دجاج:23 | مكرونة:15 | كريمة طبخ:8 | بابريكا:0.5 | بصل:3 | فطر:5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج بالكاري,غداء / Lunch,100,جنوب آسيوي / South Asian,الهند، باكستان، بنغلاديش، سريلانكا,7,صدور دجاج:24 | بصل:4 | طماطم:4 | زنجبيل:1 | ثوم:1 | كاري بودرة:0.7 | زبادي:8,رسمي موثق / Official Verified,Incredible India — Ministry of Tourism,https://www.prod.incredibleindia.gov.in/content/incredible-india-v2/en/destinations/delhi/food-and-cuisine.html,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
دجاج بصوص الفطر,غداء / Lunch,100,أوروبي,بعثات أوروبي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج تركي بالفرن,غداء / Lunch,100,تركي,بعثات تركي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج ترياكي,غداء / Lunch,100,آسيوي,بعثات آسيوي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج تكا ماسالا,غداء / Lunch,100,عام / General,جميع البعثات,7,صدور دجاج:24 | زبادي:12 | معجون طماطم:4 | بصل:3 | ثوم:1 | زنجبيل:1 | بهارات مشكلة:0.8,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج تيكا مع أرز,غداء / Lunch,100,هندي,بعثات هندي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج جولوف,غداء / Lunch,100,نيجيري / Nigerian,نيجيريا، غانا، الكاميرون,7,دجاج كامل مبرد:42 | أرز بسمتي:18 | طماطم:7 | فلفل رومي:4 | بصل:5 | معجون طماطم:3 | فلفل حار:0.4,يحتاج مراجعة / Needs Review,Peer-reviewed Nigerian cuisine overview / ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1878450X26001526,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
دجاج حلو وحامض,غداء / Lunch,100,صيني / Chinese,الصين، سنغافورة,7,صدور دجاج:23 | أناناس:6 | فلفل رومي:5 | صلصة صويا:3 | خل:2 | سكر:2 | أرز ياسمين:17,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج ساتاي,غداء / Lunch,100,إندونيسي,بعثات إندونيسي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج صاج,غداء / Lunch,100,تركي,بعثات تركي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج صويا,غداء / Lunch,100,آسيوي,بعثات آسيوي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج كاري هندي,غداء / Lunch,100,عام / General,جميع البعثات,8,صدور دجاج:24 | زبادي:10 | بصل:4 | طماطم:4 | زنجبيل:1 | ثوم:1 | كركم:0.3 | بهارات مشكلة:0.7,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج كراهي,غداء / Lunch,100,باكستاني,بعثات باكستاني,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج كورما,غداء / Lunch,100,هندي,بعثات هندي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج مشوي بالبطاطس والأعشاب,غداء / Lunch,100,أوروبي / European,فرنسا، ألمانيا، المملكة المتحدة,6,دجاج كامل مبرد:45 | بطاطس:16 | جزر:5 | ثوم:1 | ليمون:3 | زبدة:2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج مشوي مع أرز,عشاء / Dinner,100,عام / General,جميع البعثات,6,أرز بسمتي:17 | دجاج كامل مبرد:50 | زبادي:15 | ثوم:1 | ليمون:3 | بهارات مشكلة:0.6,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دجاج مشوي وأرز,غداء / Lunch,100,عام / General,جميع البعثات,6,أرز بسمتي:17 | دجاج كامل مبرد:50 | زبادي:15 | ثوم:1 | ليمون:3 | بهارات مشكلة:0.6,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
دجاج ياسا,غداء / Lunch,100,أفريقي,بعثات أفريقي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
دورو وات مع إنجيرا,غداء / Lunch,100,إثيوبي / Ethiopian,إثيوبيا، إريتريا,6,دجاج كامل مبرد:42 | بصل:8 | طماطم:4 | بيض:50 | بابريكا:0.4 | دقيق أبيض:14,رسمي موثق / Official Verified,Explore Ethiopia — official tourism portal,https://exploreethiopia.travel/,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
رشوف أردني,غداء / Lunch,100,أردني / Jordanian,الأردن,5,عدس أخضر:8 | برغل:6 | زبادي:12 | بصل:5 | خبز عربي:100,رسمي موثق / Official Verified,Visit Jordan — official tourism portal,https://edutravel.visitjordan.com/en/page/79/Food-and-Drinks,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
روبيان بالخضار,غداء / Lunch,100,آسيوي,بعثات آسيوي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
روتي وخضار,إفطار / Breakfast,100,جنوب آسيوي / South Asian,الهند، باكستان، بنغلاديش، نيبال,7,خبز شباتي:100 | بطاطس:8 | قرنبيط:6 | جزر:4 | بازلاء مجمدة:3 | بصل:3 | كاري بودرة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
ريندانغ لحم,غداء / Lunch,100,عام / General,جميع البعثات,6,لحم بقري:25 | حليب جوز الهند:12 | بصل:4 | ثوم:1 | زنجبيل:1 | بهارات مشكلة:0.5,رسمي موثق / Official Verified,Indonesia Travel — official tourism portal,https://www.indonesia.travel/sa/ar/travel-ideas/gastronomy/the-ultimate-guide-to-must-try-indonesian-food,2026-08-09,المصدر يثبت اسم/هوية الطبق؛ صيغة وكميات WAFD التشغيلية مستقلة وتحتاج اعتماداً تشغيلياً.
ساتاي دجاج,عشاء / Dinner,100,جنوب شرق آسيوي / Southeast Asian,إندونيسيا، ماليزيا,6,صدور دجاج:25 | فول سوداني:5 | حليب جوز الهند:4 | صلصة صويا:2 | ثوم:0.8 | أرز ياسمين:16,رسمي موثق / Official Verified,Tourism Malaysia,https://www.malaysia.travel/explore/malaysian-food-52-top-picks-you-shouldn-t-miss,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
ساتيه دجاج بصلصة الفول,غداء / Lunch,100,إندونيسي / Indonesian,إندونيسيا، ماليزيا,6,صدور دجاج:25 | فول سوداني:5 | حليب جوز الهند:4 | صلصة صويا:2 | ثوم:0.8 | أرز ياسمين:16,رسمي موثق / Official Verified,Tourism Malaysia,https://www.malaysia.travel/explore/malaysian-food-52-top-picks-you-shouldn-t-miss,2026-08-09,المصدر يثبت اسم/هوية الطبق؛ صيغة وكميات WAFD التشغيلية مستقلة وتحتاج اعتماداً تشغيلياً.
ساجي دجاج,غداء / Lunch,100,باكستاني / Pakistani,باكستان,5,دجاج كامل مبرد:50 | ملح:0.7 | فلفل أسود:0.25 | ليمون:3 | أرز بسمتي:17,رسمي موثق / Official Verified,Pakistan Tourism Development Corporation,https://tourism.gov.pk/pakistan.html,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سارما ورق محشي,غداء / Lunch,100,تركي / Turkish,تركيا، البوسنة والهرسك، ألبانيا,6,أرز بسمتي:12 | لحم مفروم:10 | بصل:4 | طماطم:3 | دبس رمان:1 | زيت نباتي:2,رسمي موثق / Official Verified,GoTürkiye — official tourism portal,https://gastronomy.goturkiye.com/turkish-cuisine,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سامسا أوزبكية,وجبة خفيفة / Snack,100,أوزبكي / Uzbek,أوزبكستان، كازاخستان، قرغيزستان، طاجيكستان,5,دقيق أبيض:14 | لحم مفروم:18 | بصل:6 | زيت نباتي:2 | كمون:0.25,رسمي موثق / Official Verified,Uzbekistan Travel — official tourism portal,https://uzbekistan.travel/en/c/uzbek-cuisine/,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
ساندويتش تونة,عشاء / Dinner,100,عام / General,جميع البعثات,5,خبز صامولي:100 | تونة معلبة:14 | مايونيز:4 | خيار:4 | مخلل:2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
ساندويتش جبن,إفطار / Breakfast,100,عام / General,جميع البعثات,4,خبز صامولي:100 | جبنة شرائح:100 | خيار:4 | عصير 200 مل:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
ساندويتش دجاج,عشاء / Dinner,100,عام / General,جميع البعثات,5,خبز صامولي:100 | صدور دجاج:18 | مايونيز:4 | خس:4 | مخلل:2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
ستروغانوف لحم,غداء / Lunch,100,روسي / Russian,روسيا، كازاخستان,5,لحم بقري:23 | فطر:8 | كريمة طبخ:8 | بصل:4 | مكرونة:15,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
سحور آسيوي,سحور / Suhoor,100,آسيوي / Asian,البعثات الآسيوية,6,أرز ياسمين:12 | بيض:100 | صدور دجاج:12 | خيار:4 | لبن:100 | ماء 330 مل:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سحور إندونيسي,سحور / Suhoor,100,إندونيسي / Indonesian,إندونيسيا,6,أرز ياسمين:14 | صدور دجاج:14 | بيض:100 | صلصة صويا:2 | خيار:4 | ماء 330 مل:100,رسمي موثق / Official Verified,Indonesia Travel — official tourism portal,https://www.indonesia.travel/sa/ar/travel-ideas/gastronomy/the-ultimate-guide-to-must-try-indonesian-food,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سحور عربي,سحور / Suhoor,100,عربي / Arabic,البعثات العربية,6,فول:12 | بيض:100 | لبنة:5 | خبز عربي:120 | لبن:100 | ماء 330 مل:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سحور متوازن,سحور / Suhoor,100,عام / General,جميع البعثات,6,بيض:100 | جبنة شرائح:100 | خبز عربي:100 | موز:12 | لبن:100 | ماء 330 مل:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سحور هندي,سحور / Suhoor,100,هندي / Indian,الهند,6,خبز شباتي:100 | بيض:100 | حمص حب:10 | زبادي:10 | شاي:300 | ماء 330 مل:100,رسمي موثق / Official Verified,Incredible India — Ministry of Tourism,https://www.prod.incredibleindia.gov.in/content/incredible-india-v2/en/destinations/delhi/food-and-cuisine.html,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سلتة يمنية,غداء / Lunch,100,يمني / Yemeni,اليمن,6,لحم بقري:20 | بطاطس:8 | بامية:5 | طماطم:4 | بصل:4 | خبز عربي:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
سلطة خضراء,غداء / Lunch,100,عام / General,جميع البعثات,6,خيار:8 | طماطم:8 | خس:5 | ليمون:3 | بقدونس:1 | ملح:0.2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
سلطة فواكه,وجبة خفيفة / Snack,100,عام / General,جميع البعثات,5,موز:8 | تفاح:8 | برتقال:8 | عنب أخضر:5 | مانجو:5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سلطة كول سلو,غداء / Lunch,100,عام / General,جميع البعثات,5,ملفوف:12 | جزر:4 | مايونيز:5 | خل:1 | سكر:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
سليق دجاج حجازي,غداء / Lunch,100,سعودي حجازي / Saudi Hijazi,السعودية، الخليج والعامة,6,أرز مصري:10 | أرز بسمتي:7 | دجاج كامل مبرد:45 | حليب:18 | زبدة:3 | هيل:0.08,رسمي موثق / Official Verified,Visit Saudi — official tourism portal,https://www.visitsaudi.com/content/dam/saudi-tourism/media/guides/saudi-series-culture-english.pdf,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سمك أفريقي حار,غداء / Lunch,100,أفريقي,بعثات أفريقي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
سمك بالكاري البنغالي,غداء / Lunch,100,بنغلاديشي / Bangladeshi,بنغلاديش,7,سمك فيليه:25 | بطاطس:8 | طماطم:4 | بصل:4 | كركم:0.25 | فلفل حار:0.5 | أرز بسمتي:16,رسمي موثق / Official Verified,Bangladesh Tourism Board,https://tourismboard.gov.bd/sites/default/files/files/tourismboard.portal.gov.bd/page/aa3dacc5_f200_47c7_8445_12aff09f9450/BTB%20Tourist%20Handbook%20%281%29.pdf,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سمك حلو حار,غداء / Lunch,100,آسيوي,بعثات آسيوي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
سمك فيليه مع أرز,غداء / Lunch,100,عام / General,جميع البعثات,6,أرز بسمتي:17 | سمك فيليه:25 | دقيق أبيض:3 | زيت نباتي:5 | ليمون:3 | ملح:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
سمك ماسالا,غداء / Lunch,100,هندي,بعثات هندي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
سمك مشوي بالأعشاب,غداء / Lunch,100,أوروبي,بعثات أوروبي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
سمك مشوي وأرز,غداء / Lunch,100,عام / General,جميع البعثات,5,أرز بسمتي:17 | سمك فيليه:25 | زيت نباتي:2 | ليمون:3 | بهارات سمك:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سوتو دجاج,عشاء / Dinner,100,إندونيسي / Indonesian,إندونيسيا,6,صدور دجاج:20 | شعيرية:6 | بطاطس:6 | ملفوف:5 | زنجبيل:0.7 | كركم:0.2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
سويا دجاج نيجيري,غداء / Lunch,100,نيجيري / Nigerian,نيجيريا، غانا، الكاميرون,6,صدور دجاج:25 | فول سوداني:3 | فلفل حار:0.4 | بابريكا:0.3 | بصل:4 | أرز بسمتي:16,يحتاج مراجعة / Needs Review,Peer-reviewed Nigerian cuisine overview / ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1878450X26001526,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
سيميت تركي,إفطار / Breakfast,100,تركي / Turkish,تركيا,6,دقيق أبيض:14 | سمسم:2.5 | سكر:1 | زيت نباتي:1.5 | جبنة فيتا:8 | شاي:300,رسمي موثق / Official Verified,GoTürkiye — official tourism portal,https://gastronomy.goturkiye.com/turkish-cuisine,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
شاورما دجاج,عشاء / Dinner,100,عربي / Arabic,العرب، تركيا والعامة,6,صدور دجاج:22 | خبز عربي:100 | بهارات شاورما:0.5 | مايونيز:4 | بطاطس:12 | مخلل:3,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
شاورما دجاج صندوقية,عشاء / Dinner,100,عام / General,جميع البعثات,6,صدور دجاج:22 | خبز عربي:100 | مايونيز:4 | بطاطس:12 | ثوم:1 | مخلل:3,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
شخشوخة,غداء / Lunch,100,مغاربي,بعثات مغاربي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
شخشوخة دجاج,غداء / Lunch,100,جزائري / Algerian,الجزائر,6,دجاج كامل مبرد:42 | دقيق أبيض:14 | حمص حب:4 | طماطم:4 | بصل:4 | كوسة:5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
شوربة إيجوسي باللحم,غداء / Lunch,100,نيجيري / Nigerian,نيجيريا,6,لحم بقري:22 | سبانخ:10 | فول سوداني:5 | طماطم:4 | بصل:4 | فلفل حار:0.4,يحتاج مراجعة / Needs Review,Peer-reviewed Nigerian cuisine overview / ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1878450X26001526,2026-08-09,المصدر يثبت اسم/هوية الطبق؛ صيغة وكميات WAFD التشغيلية مستقلة وتحتاج اعتماداً تشغيلياً.
شوربة حريرة,عشاء / Dinner,100,مغربي / Moroccan,المغرب، الجزائر,6,عدس أحمر:6 | حمص حب:6 | طماطم:5 | بصل:3 | كزبرة خضراء:1 | شعيرية:3,رسمي موثق / Official Verified,Moroccan National Tourist Office,https://www.visitmorocco.com/en/travel-info/food-drinks,2026-08-09,المصدر يثبت اسم/هوية الطبق؛ صيغة وكميات WAFD التشغيلية مستقلة وتحتاج اعتماداً تشغيلياً.
شوربة خضار,عشاء / Dinner,100,عام / General,جميع البعثات,6,بطاطس:5 | جزر:4 | كوسة:4 | فاصوليا خضراء:3 | بصل:2 | طماطم:2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
شوربة خضار كريمية,غداء / Lunch,100,أوروبي,بعثات أوروبي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
شوربة عدس,عشاء / Dinner,100,عام / General,جميع البعثات,6,عدس أحمر:10 | بصل:2 | جزر:2 | زيت نباتي:1 | كمون:0.2 | ملح:0.4,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
شوربة عدس تركية,عشاء / Dinner,100,تركي / Turkish,تركيا,6,عدس أحمر:11 | بصل:3 | جزر:2 | معجون طماطم:2 | كمون:0.25 | بابريكا:0.25,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
